mutation_rate,generation_size,generation_count
0.500,2,80
generation_number, fitness,critical_path,max_fanin,max_fanout,op_type,op_num,node_count,RCA,CSLA,BE_CSLA
0,0.002711,1159,1968,983,ADD,30,10489,30,0,0
0,0.002257,1078,1968,983,ADD,30,10704,22,7,1
1,0.002257,1078,1968,983,ADD,30,26804,22,7,1
1,0.001713,11771,1968,122,ADD,30,53209,18,7,5
2,0.001713,11771,1968,122,ADD,30,26942,18,7,5
2,0.014259,11566,128,122,ADD,30,53348,18,4,8
3,0.001713,11566,128,122,ADD,30,53348,18,7,5
3,0.001773,12070,1968,122,ADD,30,53682,13,7,10
4,0.001713,12070,1968,122,ADD,30,53682,18,7,5
4,0.001810,12209,1968,122,ADD,30,53826,12,8,10
5,0.001713,12209,1968,122,ADD,30,53826,18,7,5
5,0.001829,12805,1968,122,ADD,30,54054,13,12,5
6,0.001713,12805,1968,122,ADD,30,54054,18,7,5
6,0.001914,12633,1968,122,ADD,30,54185,11,11,8
7,0.001713,12633,1968,122,ADD,30,54185,18,7,5
7,0.001744,11815,1968,122,ADD,30,54306,14,5,11
8,0.001713,11815,1968,122,ADD,30,54306,18,7,5
8,0.001650,11931,1968,122,ADD,30,54426,16,9,5
9,0.001650,11931,1968,122,ADD,30,26927,16,9,5
9,0.001691,14054,1968,122,ADD,30,53263,14,8,8
10,0.001650,14054,1968,122,ADD,30,53263,16,9,5
10,0.001579,13325,1968,122,ADD,30,53485,14,9,7
11,0.001579,13325,1968,122,ADD,30,27189,14,9,7
11,0.002302,13145,1968,122,ADD,30,53616,12,10,8
12,0.001579,13145,1968,122,ADD,30,53616,14,9,7
12,0.001777,14103,1968,122,ADD,30,53641,9,13,8
13,0.001579,14103,1968,122,ADD,30,53641,14,9,7
13,0.016900,13637,128,122,ADD,30,53660,15,9,6
14,0.001579,13637,128,122,ADD,30,53660,14,9,7
14,0.001924,13129,1968,122,ADD,30,53764,10,10,10
15,0.001579,13129,1968,122,ADD,30,53764,14,9,7
15,0.001841,13202,1968,122,ADD,30,53863,13,8,9
16,0.001579,13202,1968,122,ADD,30,53863,14,9,7
16,0.002000,13208,1968,122,ADD,30,53863,16,8,6
17,0.001579,13208,1968,122,ADD,30,53863,14,9,7
17,0.002053,13203,1968,122,ADD,30,54016,11,14,5
18,0.001579,13203,1968,122,ADD,30,54016,14,9,7
18,0.001875,12055,1968,122,ADD,30,54016,10,12,8
19,0.001579,12055,1968,122,ADD,30,54016,14,9,7
19,0.015034,13434,128,122,ADD,30,54016,11,12,7
20,0.001579,13434,128,122,ADD,30,54016,14,9,7
20,0.002140,12475,1968,122,ADD,30,54016,10,12,8
21,0.001579,12475,1968,122,ADD,30,54016,14,9,7
21,0.001908,13151,1968,122,ADD,30,54016,17,11,2
22,0.001579,13151,1968,122,ADD,30,54016,14,9,7
22,0.002183,14533,1968,122,ADD,30,54016,10,13,7
23,0.001579,14533,1968,122,ADD,30,54016,14,9,7
23,0.016752,13429,128,122,ADD,30,54016,15,5,10
24,0.001579,13429,128,122,ADD,30,54016,14,9,7
24,0.001923,12507,1968,122,ADD,30,54023,11,8,11
25,0.001579,12507,1968,122,ADD,30,54023,14,9,7
25,0.017592,12763,128,122,ADD,30,54023,12,8,10
26,0.001579,12763,128,122,ADD,30,54023,14,9,7
26,0.014382,13309,128,122,ADD,30,54120,14,6,10
27,0.001579,13309,128,122,ADD,30,54120,14,9,7
27,0.015401,13035,128,122,ADD,30,54120,14,10,6
28,0.001579,13035,128,122,ADD,30,54120,14,9,7
28,0.001742,12946,1968,122,ADD,30,54120,13,8,9
29,0.001579,12946,1968,122,ADD,30,54120,14,9,7
29,0.002146,13620,1968,122,ADD,30,54120,10,11,9
30,0.001579,13620,1968,122,ADD,30,54120,14,9,7
30,0.001933,13412,1968,122,ADD,30,54129,14,14,2
31,0.001579,13412,1968,122,ADD,30,54129,14,9,7
31,0.001848,13340,1968,122,ADD,30,54129,14,10,6
32,0.001579,13340,1968,122,ADD,30,54129,14,9,7
32,0.001858,13781,1968,122,ADD,30,54129,10,11,9
33,0.001579,13781,1968,122,ADD,30,54129,14,9,7
33,0.002037,13592,1968,122,ADD,30,54129,11,11,8
34,0.001579,13592,1968,122,ADD,30,54129,14,9,7
34,0.001639,13052,1968,122,ADD,30,54129,12,8,10
35,0.001579,13052,1968,122,ADD,30,54129,14,9,7
35,0.001815,13204,1968,122,ADD,30,54129,11,8,11
36,0.001579,13204,1968,122,ADD,30,54129,14,9,7
36,0.001982,13189,1968,122,ADD,30,54129,12,11,7
37,0.001579,13189,1968,122,ADD,30,54129,14,9,7
37,0.015909,13206,128,122,ADD,30,54129,9,7,14
38,0.001579,13206,128,122,ADD,30,54129,14,9,7
38,0.014527,13003,128,122,ADD,30,54129,15,6,9
39,0.001579,13003,128,122,ADD,30,54129,14,9,7
